_redis_id,_validation,bottle_distance_to_filler_value,bottle_level_value,conveyor_belt_engine_state,plc1_mode,plc2_mode,supply_pressure,tank_input_flow_value,tank_input_valve_position,tank_input_valve_state,tank_level_value,tank_output_flow_value,tank_output_valve_position,tank_output_valve_state,tank_pressure,timestamp,timestamp_iso,timestamp_unix_ms
1780441638430-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",14.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.6749999999999997,0.0,0.04256140000000098,1780441638.4306233,2026-06-02 23:07:18,1780441638430.0
1780441638639-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",14.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.6249999999999997,0.0,0.04256140000000098,1780441638.6326993,2026-06-02 23:07:18,1780441638632.0
1780441638842-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",14.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.5749999999999996,0.0,0.04256140000000098,1780441638.8418899,2026-06-02 23:07:18,1780441638841.0
1780441639044-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",10.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.5249999999999996,0.0,0.04256140000000098,1780441639.0438416,2026-06-02 23:07:19,1780441639043.0
1780441639246-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",10.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.47499999999999953,0.0,0.04256140000000098,1780441639.2461088,2026-06-02 23:07:19,1780441639246.0
1780441639448-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",10.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.4249999999999995,0.0,0.04256140000000098,1780441639.448609,2026-06-02 23:07:19,1780441639448.0
1780441639650-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",6.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.37499999999999944,0.0,0.04256140000000098,1780441639.650235,2026-06-02 23:07:19,1780441639650.0
1780441639852-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",6.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.3249999999999994,0.0,0.04256140000000098,1780441639.851952,2026-06-02 23:07:19,1780441639851.0
1780441640054-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",6.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.27499999999999936,0.0,0.04256140000000098,1780441640.054295,2026-06-02 23:07:20,1780441640054.0
1780441640256-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",2.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.22499999999999937,0.0,0.04256140000000098,1780441640.2560472,2026-06-02 23:07:20,1780441640256.0
1780441640457-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",2.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.17499999999999938,0.0,0.04256140000000098,1780441640.4574912,2026-06-02 23:07:20,1780441640457.0
1780441640659-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",2.0,189.11861194973523,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.12499999999999939,0.0,0.04256140000000098,1780441640.6591249,2026-06-02 23:07:20,1780441640659.0
1780441640861-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",130.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0749999999999994,0.0,0.04256140000000098,1780441640.8606818,2026-06-02 23:07:20,1780441640860.0
1780441641062-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",130.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.024999999999999398,0.0,0.04256140000000098,1780441641.0621905,2026-06-02 23:07:21,1780441641062.0
1780441641263-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",130.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441641.2635372,2026-06-02 23:07:21,1780441641263.0
1780441641465-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",126.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441641.4649653,2026-06-02 23:07:21,1780441641464.0
1780441641666-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",126.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441641.6664956,2026-06-02 23:07:21,1780441641666.0
1780441641868-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",126.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441641.8679678,2026-06-02 23:07:21,1780441641867.0
1780441642070-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",122.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.0700765,2026-06-02 23:07:22,1780441642070.0
1780441642271-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",122.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.2717476,2026-06-02 23:07:22,1780441642271.0
1780441642473-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",118.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.4737353,2026-06-02 23:07:22,1780441642473.0
1780441642487-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",118.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.4878154,2026-06-02 23:07:22,1780441642487.0
1780441642689-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",118.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.6894474,2026-06-02 23:07:22,1780441642689.0
1780441642891-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",114.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441642.8909707,2026-06-02 23:07:22,1780441642890.0
1780441643092-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",114.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441643.0926483,2026-06-02 23:07:23,1780441643092.0
1780441643294-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",114.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441643.2940753,2026-06-02 23:07:23,1780441643294.0
1780441643495-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",110.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441643.4950113,2026-06-02 23:07:23,1780441643495.0
1780441643696-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",110.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441643.6964152,2026-06-02 23:07:23,1780441643696.0
1780441643898-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",110.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441643.8980265,2026-06-02 23:07:23,1780441643898.0
1780441644099-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",106.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441644.0996482,2026-06-02 23:07:24,1780441644099.0
1780441644301-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",106.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441644.3011715,2026-06-02 23:07:24,1780441644301.0
1780441644503-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",106.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441644.5027926,2026-06-02 23:07:24,1780441644502.0
1780441644704-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",102.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441644.704667,2026-06-02 23:07:24,1780441644704.0
1780441644907-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",102.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,434.30000000000996,0.0,0.0,0.0,0.04256140000000098,1780441644.9065459,2026-06-02 23:07:24,1780441644906.0
