_redis_id,timestamp,timestamp_iso,timestamp_unix_ms,tank_level_value,tank_input_valve_state,tank_output_valve_state,bottle_level_value,bottle_distance_to_filler_value,conveyor_belt_engine_state,tank_output_flow_value,tank_input_flow_value,plc1_mode,plc2_mode,tank_pressure,supply_pressure,tank_input_valve_position,tank_output_valve_position,_validation
1780441366293-0,1780441366.2928965,2026-06-02 23:02:46,1780441366292.0,473.90000000000396,0.0,0.0,0.0,118.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366496-0,1780441366.4961388,2026-06-02 23:02:46,1780441366496.0,473.90000000000396,0.0,0.0,0.0,118.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366698-0,1780441366.698489,2026-06-02 23:02:46,1780441366698.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441366901-0,1780441366.9009354,2026-06-02 23:02:46,1780441366901.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367103-0,1780441367.103486,2026-06-02 23:02:47,1780441367103.0,473.90000000000396,0.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367306-0,1780441367.3060465,2026-06-02 23:02:47,1780441367306.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367509-0,1780441367.5088603,2026-06-02 23:02:47,1780441367508.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367711-0,1780441367.711274,2026-06-02 23:02:47,1780441367711.0,473.90000000000396,0.0,0.0,0.0,110.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441367921-0,1780441367.9137907,2026-06-02 23:02:47,1780441367913.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368123-0,1780441368.1230948,2026-06-02 23:02:48,1780441368123.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368325-0,1780441368.3255737,2026-06-02 23:02:48,1780441368325.0,473.90000000000396,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
1780441368528-0,1780441368.5284712,2026-06-02 23:02:48,1780441368528.0,473.90000000000396,0.0,0.0,0.0,102.0,1.0,0.0,0.0,1.0,1.0,0.046442200000000385,2.5,0.0,0.0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}"
