sender_address,receiver_address,protocol,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sBytesTotal,rBytesTotal,sLoad,rLoad,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacket,rInterPacket,sttl,rttl,sAckRate,rAckRate,sFinRate,rFinRate,sPshRate,rPshRate,sRstRate,rRstRate,sUrgRate,rUrgRate,sSynRate,rSynRate,sWin,rWin,sFragmentRate,rFragmentRate,label,raw_start_time,raw_end_time,event_time_seconds,event_end_seconds,event_time_hms,event_end_hms,proto_ARP,proto_IPV4-ModbusTCP,proto_IPV4-TCP,proto_IPV6-OTHER,label_id
192.168.0.100,192.168.0.200,IPV4-TCP,1777916194.069503,1777916208.99156,0.0,14.922057,0.9532334927477536,0.9614614614614614,0.9794794794794794,0.9864864864864864,0.9914914914914916,0.4994994994994995,0.01001001001001,0.9903300493919912,0.01001001001001,0.994979884977628,0.9704704704704704,0.0514117818755036,0.0525994854941676,0.9864864864864864,0.9914914914914916,0.0,0.01001001001001,0.9903300493919912,0.01001001001001,0.9571775378352388,0.9489683390699704,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,1.0,0.0,0.0,0,1777916194.069503,1777916208.99156,63394.06950306893,63408.9915599823,17:36:34.070,17:36:48.992,0,0,1,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916194.392496,1777916194.393048,0.322993,0.323545,0.576026521571076,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.203157781544223,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8330403698574746,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916194.392496,1777916194.393048,63394.39249610901,63394.39304804802,17:36:34.392,17:36:34.393,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916194.423161,1777916194.423704,0.353658,0.354201,0.5635635635635635,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.2052052052052052,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8318987740184457,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916194.423161,1777916194.423704,63394.423161029816,63394.42370390892,17:36:34.423,17:36:34.424,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916194.895025,1777916194.896292,0.825522,0.826789,0.8110825233466743,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.1361330479460059,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8953171212536248,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916194.895025,1777916194.896292,63394.89502501488,63394.89629197121,17:36:34.895,17:36:34.896,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916194.924231,1777916194.925109,0.854728,0.855606,0.7619364647666534,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.1637375799879948,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8676371879366904,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916194.924231,1777916194.925109,63394.9242310524,63394.92510890961,17:36:34.924,17:36:34.925,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916195.399238,1777916195.39998,1.329735,1.330477,0.7200533867200534,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.176563162392656,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8535147392290328,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916195.399238,1777916195.39998,63395.39923810959,63395.39998006821,17:36:35.399,17:36:35.400,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916195.425833,1777916195.426417,1.35633,1.356914,0.6116116116116116,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.1973264881937602,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8368906235090712,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916195.425833,1777916195.426417,63395.42583298683,63395.42641711235,17:36:35.426,17:36:35.426,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916195.900576,1777916195.903186,1.831073,1.833683,0.8668976797096597,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.0829455684984427,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.934560536063571,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916195.900576,1777916195.903186,63395.900576114655,63395.90318608284,17:36:35.901,17:36:35.903,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916195.926958,1777916195.92734,1.857455,1.857837,0.1646646646646646,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.2737731186684066,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8015248093988541,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916195.926958,1777916195.92734,63395.92695808411,63395.92734003067,17:36:35.927,17:36:35.927,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916196.404087,1777916196.404545,2.334584,2.335042,0.4044044044044044,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.2309801613840915,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8184036281573747,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.404087,1777916196.404545,63396.40408706665,63396.40454506874,17:36:36.404,17:36:36.405,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916196.427955,1777916196.428373,2.358452,2.35887,0.2892892892892893,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.2502502502502503,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8095748481600725,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.427955,1777916196.428373,63396.427954912186,63396.42837309837,17:36:36.428,17:36:36.428,0,1,0,0,0
192.168.0.31,192.168.0.22,IPV4-ModbusTCP,1777916196.680097,1777916226.622995,2.610594,32.553492,0.9857838031843472,0.9747044341638936,0.955851050297238,0.4924924924924924,0.482982982982983,0.4994994994994995,0.0275275275275275,0.0019932947325162,0.036041805494255,0.9576643689556674,0.9574936532542516,0.0116782857215486,0.0108715424040537,0.4924924924924924,0.482982982982983,0.0,0.0275275275275275,0.0019990994682104,0.036041805494255,0.9891856178384716,0.990101693583642,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.4985632183908046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.680097,1777916226.622995,63396.68009710312,63426.62299489975,17:36:36.680,17:37:06.623,0,1,0,0,0
192.168.0.22,192.168.0.21,IPV4-ModbusTCP,1777916196.757341,1777916226.657603,2.687838,32.5881,0.9759635989510672,0.9934934934934936,0.9934934934934936,0.4924924924924924,0.973973973973974,0.4994994994994995,1.0,0.4884884884884884,0.9904904904904904,0.9764764764764764,0.9934934934934936,0.0316195186895519,0.0317318610039405,0.4924924924924924,0.973973973973974,0.0,1.0,0.4884884884884884,0.9904904904904904,0.9523842080644876,0.9697020846027342,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.757341,1777916226.657603,63396.75734090805,63426.65760302544,17:36:36.757,17:37:06.658,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916196.905351,1777916196.905864,2.835848,2.836361,0.5175175175175175,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.2121122144876346,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.82768482768484,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.905351,1777916196.905864,63396.90535092354,63396.90586400032,17:36:36.905,17:36:36.906,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916196.928696,1777916196.929255,2.859193,2.859752,0.5860860860860861,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.4154154154154154,0.3613613613613613,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.5855855855855856,0.6401401401401401,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916196.928696,1777916196.929255,63396.92869591713,63396.9292550087,17:36:36.929,17:36:36.929,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916197.408668,1777916197.409415,3.339165,3.339912,0.7221214019775171,0.001001001001001,0.001001001001001,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.001001001001001,0.001001001001001,0.1761761761761761,0.0,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.8540950763173023,0.0,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916197.408668,1777916197.409415,63397.40866804123,63397.40941500664,17:36:37.409,17:36:37.409,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916197.430345,1777916197.431146,3.360842,3.361643,0.740990990990991,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.2605930941345007,0.2102102102102102,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.7404070737404403,0.7917917917917918,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916197.430345,1777916197.431146,63397.43034505844,63397.43114590645,17:36:37.430,17:36:37.431,0,1,0,0,0
192.168.0.31,192.168.0.21,IPV4-ModbusTCP,1777916197.473193,1777916227.12389,3.40369,33.054387,0.9639823322432506,0.983532205754428,0.9829273718162608,0.4924924924924924,0.482982982982983,0.4994994994994995,0.0275275275275275,0.981117440205354,0.0225225225225225,0.9666248684945568,0.9829317008838088,0.0208248883704008,0.0200172462972592,0.4924924924924924,0.482982982982983,0.0,0.0275275275275275,0.981117440205354,0.0225225225225225,0.9800833218858904,0.9809863438234064,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916197.473193,1777916227.12389,63397.47319293022,63427.123889923096,17:36:37.473,17:37:07.124,0,1,0,0,0
192.168.0.21,192.168.0.21,IPV4-ModbusTCP,1777916197.473481,1777916227.376211,3.403978,33.306708,0.9764525149286316,0.9714714714714714,0.953953953953954,0.4924924924924924,0.973973973973974,0.4994994994994995,1.0,0.4884884884884884,0.9904904904904904,0.9544544544544544,0.953953953953954,0.0090236569417832,0.0095549751959287,0.4924924924924924,0.973973973973974,0.0,1.0,0.4884884884884884,0.9904904904904904,0.9917197839263332,0.9919409832536382,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994994994994995,0.9789789789789788,0.0,0.0,0,1777916197.473481,1777916227.376211,63397.473480939865,63427.37621092796,17:36:37.473,17:37:07.376,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916197.910091,1777916197.910496,3.840588,3.840993,0.2437437437437437,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.7572572572572572,0.7902902902902903,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.2437437437437437,0.2112112112112112,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916197.910091,1777916197.910496,63397.91009092331,63397.91049599648,17:36:37.910,17:36:37.910,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916197.932541,1777916197.932981,3.863038,3.863478,0.3508508508508509,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.6501501501501501,0.6746746746746746,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.3508508508508509,0.3263263263263263,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916197.932541,1777916197.932981,63397.93254089356,63397.93298101425,17:36:37.933,17:36:37.933,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916198.410763,1777916198.411166,4.34126,4.341663,0.2367367367367367,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.7642642642642643,0.6746746746746746,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.2367367367367367,0.3263263263263263,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916198.410763,1777916198.411166,63398.41076302528,63398.41116595268,17:36:38.411,17:36:38.411,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916198.433229,1777916198.433701,4.363726,4.364198,0.4374374374374374,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.5635635635635636,0.577077077077077,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.4374374374374374,0.4244244244244244,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916198.433229,1777916198.433701,63398.43322896957,63398.43370103836,17:36:38.433,17:36:38.434,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916198.911481,1777916198.911881,4.841978,4.842378,0.2262262262262262,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.7747747747747747,0.577077077077077,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.2262262262262262,0.4244244244244244,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916198.911481,1777916198.911881,63398.911480903625,63398.91188097,17:36:38.911,17:36:38.912,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916198.933906,1777916198.934399,4.864403,4.864896,0.4819819819819819,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.5190190190190189,0.3178178178178178,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.4819819819819819,0.6836836836836837,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916198.933906,1777916198.934399,63398.93390607834,63398.93439888954,17:36:38.934,17:36:38.934,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916199.413003,1777916199.413358,5.3435,5.343855,0.082082082082082,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.9189189189189187,0.7902902902902903,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.082082082082082,0.2112112112112112,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916199.413003,1777916199.413358,63399.41300296784,63399.4133579731,17:36:39.413,17:36:39.413,0,1,0,0,0
192.168.0.100,192.168.0.22,IPV4-ModbusTCP,1777916199.43527,1777916199.435788,5.365767,5.366285,0.5260260260260261,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.474974974974975,0.4934934934934935,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.5255255255255256,0.508008008008008,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916199.43527,1777916199.435788,63399.43527007103,63399.43578791618,17:36:39.435,17:36:39.436,0,1,0,0,0
192.168.0.100,192.168.0.21,IPV4-ModbusTCP,1777916199.91381,1777916199.914677,5.844307,5.845174,0.7597597597597597,0.4739739739739739,0.4734734734734734,0.4924924924924924,0.482982982982983,0.4994994994994995,0.509009009009009,0.4884884884884884,0.509009009009009,0.4739739739739739,0.4734734734734734,0.241991126074171,0.4934934934934935,0.4924924924924924,0.482982982982983,0.0,0.509009009009009,0.4884884884884884,0.509009009009009,0.7587918929382421,0.508008008008008,0.2509803921568627,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495995995995996,0.4874874874874874,0.0,0.0,0,1777916199.91381,1777916199.914677,63399.913810014725,63399.91467690468,17:36:39.914,17:36:39.915,0,1,0,0,0
